id,artist,lastfm_artist_bio
73,Clash,"For the British punk band, see The Clash

Clash is one of the most popular Thai rock bands in Thailand today. The band consists of Bank(lead vocals), Ponn(guitar), Hack(guitar), Soom(bass), and Yak(drum). The band signed to UP G record in 2001 and up until now they have released 5 albums, 2 greatest hits albums, and 2 special acoustic albums.

The band first united as ""Lucifer"" (from Ratwinit bangkaeo school) in order to participate in the second and third Hot Wave Music Awards Contest. Read more on Last.fm"
74,Cliff Richard,"Sir Cliff Richard (born Harry Rodger Webb, 1940-10-14, in Lucknow, India) moved as an 8-year-old to the UK, where it would be 10 more years before he and his group The Drifters emerged in the UK charts for the first time with 'Move It'. Cliff was heavily influenced by Elvis, imitating him shamelessly during the first couple of years of his career.  Something which he openly admits, and fully acknowledges that without Elvis, he and many others would never have happened. Read more on Last.fm"
75,Coldplay,"Coldplay is a British alternative rock and britpop band formed in London in 1997. They consist of vocalist and pianist Chris Martin, guitarist Jonny Buckland, bassist Guy Berryman, drummer Will Champion and creative director Phil Harvey. They met at University College London and began playing music together from 1996 to 1998, initially calling themselves Starfish. Coldplay's music incorporates elements of soft rock, pop rock, piano rock, and post-britpop. Read more on Last.fm"
76,Cole Porter,"Cole Albert Porter (June 9, 1891 – October 15, 1964) was an American composer and songwriter from Indiana. His works include the musical comedies Kiss Me, Kate (1948) (based on Shakespeare's The Taming of the Shrew), Fifty Million Frenchmen and Anything Goes, as well as songs like ""Night and Day"", ""I Get a Kick Out of You"" and ""I've Got You Under My Skin"". He was noted for his sophisticated (sometimes ribald) lyrics, clever rhymes, and complex forms. He was one of the greatest half-dozen contributors to the Great American Songbook. Read more on Last.fm"
77,Conway Twitty,"By any measure, the career of singer, songwriter, producer, entertainer and recording artist Conway Twitty stands among the greatest in the history of popular music. His 55 #1 singles -- including 50 consecutive #1s -- are an astounding and singular accomplishment in the annals of the recording industry. Those hits drove sales of more than 50 million records, powering literally thousands of live performances for tens of millions of fans, and led to more than 100 major awards. Read more on Last.fm"
78,Counting Crows,"Counting Crows is an American rock band originating from Berkeley, California. Formed in 1991, the group gained fame in 1993 following the release of their debut album, titled 'August and Everything After', when track ""Mr. Jones"" became a big hit. Known for their melancholic yet melodic songwriting, the band started when singer Adam Duritz (previously of The Himalayans and Sordid Humor) teamed up with guitarist David Bryson (local producer and former member of the band Mr. Read more on Last.fm"
79,Creedence Clearwater Revival,"Creedence Clearwater Revival (often referred to as Creedence or CCR) was an American rock band active in the late 1960s and early 1970s which consisted of lead vocalist, lead guitarist, and primary songwriter John Fogerty, his brother rhythm guitarist Tom Fogerty, bassist Stu Cook, and drummer Doug Clifford.

These members played together since 1959, first as The Blue Velvets, then as The Golliwogs. Their musical style encompassed the roots rock, swamp rock, and blues rock genres. Read more on Last.fm"
80,Crowded House,"Crowded House is an rock group formed in 1985 in Melbourne, Australia and led by New Zealand musician and singer-songwriter Neil Finn. The band were originally active from 1986 to 1996 before deciding to split up. In 2007, the band reunited to record and tour again.

Neil Finn and Paul Hester decided to form a new band during the Split Enz farewell tour 'Enz with a Bang'. Nick Seymour approached Finn during the after party for the Melbourne show and asked if he could try out for this new band. Read more on Last.fm"
81,Culture Club,"Culture Club were a popular 80s pop group, perhaps most noticeable for their gender-bending frontman George O'Dowd, known by his stage name Boy George. The other members of the band were Roy Hay on guitars and keyboards, Mikey Craig playing bass, and Jon Moss (ex Damned, London, Adam and the Ants) on drums.

Their first album, 1982's Kissing to Be Clever, became a major international hit, spawning the hit singles ""Do You Really Want to Hurt Me"" (which went 'all the way' in the BBC-Charts in late 1982) Read more on Last.fm"
82,Cyndi Lauper,"Cyndi Lauper (born Cynthia Ann Stephanie Lauper on June 22, 1953 in Brooklyn, New York, United States), is a Grammy Award-winning singer (who possesses a four-octave vocal range) and Emmy Award-winning film, television and theatre actress. She was lead singer of the rockabilly band Blue Angel before her rise to fame as a solo singer. Her melodic voice and wild costumes have come to epitomize the 1980s and New Wave — the decade and genre in which she first came to fame. Read more on Last.fm"
83,Dan Fogelberg,"Dan Fogelberg (August 13, 1951 – December 16, 2007) was an American singer-songwriter known for his success in the late 1970s and early 1980s. He worked with manager Irving Azoff and gained recognition for his contributions to the soft rock genre of that era. Fogelberg's music often addressed social and ecological themes, and he participated in events such as the No Nukes concerts. Throughout his career, he collaborated with various musicians, including Van Morrison, Joe Walsh, Tim Weisberg, and Ricky Skaggs. Read more on Last.fm"
84,Dave Matthews Band,"Dave Matthews Band was formed in Charlottesville, VA in 1991 by South African native singer and guitarist Dave Matthews, bassist Stefan Lessard, the late LeRoi Moore, who played a wide variety of instruments from the saxophone to the flute, violin player Boyd Tinsley, drummer Carter Beauford, and keyboardist Peter Griesar (who left the band in 1993), all of whom Dave met in Charlottesville. In 1998, the band played shows with keyboardist Butch Taylor, although he was not officially a member of the band. Read more on Last.fm"
85,David Allan Coe,"David Allan Coe (born September 6, 1939) is an American singer and songwriter. Coe took up music after spending much of his early life in reform schools and prisons, and first became notable for busking in Nashville. He initially played mostly in the blues style, before transitioning to country music, becoming a major part of the 1970s outlaw country scene. His biggest hits were ""Mona Lisa Lost Her Smile"", ""The Ride"", ""You Never Even Called Me by My Name"", ""She Used to Love Me a Lot"", and ""Longhaired Redneck"". Read more on Last.fm"
86,David Bowie,"David Robert Jones (8 January 1947 – 10 January 2016), known professionally as David Bowie, was an English singer-songwriter and actor. A leading figure in the music industry, he is regarded as one of the most influential musicians of the 20th century. Bowie was acclaimed by critics and musicians, particularly for his innovative work during the 1970s. His career was marked by reinvention and visual presentation, and his music and stagecraft had a significant impact on popular music. Read more on Last.fm"
87,David Guetta,"Pierre David Guetta is a French DJ and music producer. He has sold over 10 million albums and 65 million singles globally, with more than 14 billion streams. In 2011, 2020, and 2021, Guetta was voted the number one DJ in the DJ Mag Top 100 DJs poll. In 2013, Billboard crowned ""When Love Takes Over"" as the number-one dance-pop collaboration of all time, with singer Kelly Rowland.

He released his first album, Just a Little More Love, in 2002. Later, he released Guetta Blaster (2004) and Pop Life (2007). Read more on Last.fm"
88,David Pomeranz,"David Pomeranz is an American singer, composer, lyricist, and writer for musical theatre.

Born in New York City and raised on Long Island, Pomeranz expressed interest in music from an early age, singing in the synagogue choir, learning to play the piano, guitar, and drums, and writing and recording songs by the age of fourteen. When he was nineteen, MCA/Decca signed him to a contract that yielded two albums, New Blues and Time To Fly (the latter featuring Chick Corea) Read more on Last.fm"
